id,value
id_0,27.0734971085
id_1,62.4457439262
id_2,20.5181152734
id_3,27.7364149853
id_4,10.8481334534
id_5,33.7909322492
id_6,38.9586723781
id_7,15.8510518019
id_8,47.8626356509
id_9,33.8345706099
id_10,39.0912303194
id_11,59.1915561674
id_12,35.5354580385
id_13,39.1995217778
id_14,25.2138138825
id_15,13.1499728036
id_16,51.5246758492
id_17,21.9478953772
id_18,18.0206135331
id_19,18.8068919122
id_20,14.6843506393
id_21,25.7216871914
id_22,37.0079670841
id_23,11.0272257605
id_24,59.5912033345
id_25,44.6423449142
id_26,28.1901913653
id_27,9.64673621465
id_28,29.7532769983
id_29,35.6267613643
id_30,17.2780269207
id_31,12.0051297748
id_32,16.9613443964
id_33,4.6314655797
id_34,18.3357237534
id_35,38.1062631267
id_36,20.0879504554
id_37,28.1241057212
id_38,5.76182217755
id_39,60.8585468821
id_40,47.0378455036
id_41,18.024438826
id_42,50.1383919025
id_43,18.6187543231
id_44,44.4312180874
id_45,49.9087690378
id_46,60.3318585863
id_47,40.2558735814
id_48,51.5210330682
id_49,42.033376056
id_50,30.4460793899
id_51,23.9804088487
id_52,41.3425698058
id_53,26.1349959919
id_54,38.2121176628
id_55,39.5297062088
id_56,24.9893913688
id_57,21.6932767644
id_58,36.7752028696
id_59,31.0528985616
id_60,13.8393740089
id_61,23.4288666787
id_62,31.2739829283
id_63,55.2017369098
id_64,49.2146037476
id_65,26.8864707543
id_66,40.1403700293
id_67,54.2124157868
id_68,27.9628462799
id_69,37.1363646953
id_70,65.0869635596
id_71,52.1262081877
id_72,44.232088695
id_73,11.1922272268
id_74,11.7580979552
id_75,34.4259312191
id_76,61.2004081808
id_77,4.13200133628
id_78,42.7888104854
id_79,38.8242445439
id_80,7.80530761142
id_81,21.2440625646
id_82,8.5100556506
id_83,33.6263187376
id_84,10.1420641869
id_85,5.64007866076
id_86,16.3089832961
id_87,11.7845675372
id_88,13.8822975524
id_89,26.1784051453
id_90,29.9633799921
id_91,11.0483626541
id_92,13.7302519173
id_93,9.14439585396
id_94,35.4702144773
id_95,16.9661086576
id_96,14.9375207167
id_97,8.19709040027
id_98,10.5806692922
id_99,4.99003481492
id_100,13.1901322457
id_101,19.2489020467
id_102,10.0574385027
id_103,5.37393401512
id_104,14.7848449944
id_105,36.4348074967
id_106,26.8436835762
id_107,9.6512604875
id_108,16.3323018677
id_109,17.1478626133
id_110,13.6295781782
id_111,15.4011287898
id_112,13.860417872
id_113,27.1521186868
id_114,22.6848714922
id_115,15.2573787002
id_116,11.3890207387
id_117,43.5153529202
id_118,29.8095424217
id_119,2.3857743807
id_120,2.92418617451
id_121,12.4269536135
id_122,15.8263374827
id_123,14.8522956016
id_124,6.0137639154
id_125,26.6279773087
id_126,22.5493788811
id_127,13.0345042303
id_128,18.849708365
id_129,16.7817909816
id_130,4.12455165629
id_131,35.9488097263
id_132,15.552963005
id_133,26.2558872283
id_134,23.8915322454
id_135,21.5607473757
id_136,11.1117311916
id_137,20.4410467454
id_138,79.8648925586
id_139,62.395047279
id_140,27.7127988873
id_141,16.3792221009
id_142,25.1658661851
id_143,9.05245937157
id_144,12.7615649333
id_145,9.90331142001
id_146,21.5843051821
id_147,7.55299380107
id_148,13.7658765413
id_149,17.2625280925
id_150,50.8317157106
id_151,19.6352683889
id_152,23.8052744837
id_153,15.0441366359
id_154,15.2429507995
id_155,27.5374820766
id_156,19.3331583755
id_157,34.1403233035
id_158,3.99838476808
id_159,17.7139536899
id_160,43.4466327196
id_161,18.6260547749
id_162,57.219158881
id_163,19.5782560259
id_164,37.3386885657
id_165,25.1866431318
id_166,21.0685529929
id_167,1.6851830963
id_168,66.2674978263
id_169,17.9343184461
id_170,18.0635613213
id_171,69.8801179521
id_172,20.1301950389
id_173,3.61146494793
id_174,24.1959627267
id_175,1.92408781292
id_176,7.6053731572
id_177,19.9189915656
id_178,20.8492900079
id_179,20.3847432698
id_180,42.8219904618
id_181,27.2205875253
id_182,29.2795685706
id_183,13.3286805383
id_184,8.34340871361
id_185,41.5584330177
id_186,36.3983474631
id_187,32.5039961382
id_188,15.5623763739
id_189,22.6525439006
id_190,14.0502530426
id_191,14.2066104108
id_192,33.1232325935
id_193,75.8999042718
id_194,30.0508497841
id_195,12.0655253753
id_196,62.5567705003
id_197,17.0660454508
id_198,19.5214446588
id_199,23.5169745512
id_200,141.287733532
id_201,26.7605188497
id_202,59.0841432879
id_203,6.26649534355
id_204,61.6130051603
id_205,34.0931040525
id_206,16.6475050158
id_207,15.345432946
id_208,64.9091341647
id_209,14.3581273246
id_210,28.8025392803
id_211,71.6246804736
id_212,21.0518150277
id_213,92.4254161382
id_214,39.3398977977
id_215,79.4451520295
id_216,98.6501200895
id_217,72.2843970739
id_218,28.2009046552
id_219,19.2002134095
id_220,32.0400205459
id_221,55.3113651838
id_222,28.6255985761
id_223,40.7140819861
id_224,42.9434878969
id_225,7.08722933794
id_226,4.61330833859
id_227,72.3358390418
id_228,27.0371126278
id_229,1.70495249033
id_230,39.0759795039
id_231,15.0715870892
id_232,21.3890935385
id_233,6.63961576567
id_234,12.7394794352
id_235,21.4054724775
id_236,13.3622041442
id_237,1.14347856889
id_238,22.3608956376
id_239,1.91160357442
